"都府県
振興局","観測所
番号",種類,観測所名,カタカナ名,所在地,緯度,,経度,,"海面上の
高さ（ｍ）","観測開始
年月日"
,,,,,,度,分,度,分,,
渡島,24905,雪,熊石,クマイシ,二海郡八雲町熊石根崎町,42,7.7,139,59.1,12,昭57.10.7
檜山,24900,雪,今金,イマカネ,瀬棚郡今金町今金,42,25.7,140,0.5,19,昭57.10.6
檜山,24910,雪,鶉,ウズラ,檜山郡厚沢部町鶉町,41,55.8,140,18.7,53,昭57.10.7
青森,31900,雪,大間,オオマ,下北郡大間町大間字狼丁,41,31.6,140,54.7,14,昭58.10.7
青森,31903,官,むつ,ムツ,むつ市金曲　むつ特別地域気象観測所,41,17,141,12.6,3,平10.3.2
青森,31905,雪,今別,イマベツ,東津軽郡今別町今別字中沢,41,10.8,140,28.9,30,昭54.11.7
青森,31910,雪,五所川原,ゴショガワラ,五所川原市松島町,40,48.5,140,27.5,9,昭54.11.6
青森,31916,雪,野辺地,ノヘジ,上北郡野辺地町有戸鳥井平,40,53.1,141,9.6,14,平20.11.21
青森,31913,官,青森,アオモリ,青森市花園　青森地方気象台,40,49.3,140,46.1,3,平10.3.2
青森,31920,雪,弘前,ヒロサキ,弘前市和田町,40,36.7,140,27.3,30,昭57.10.13
青森,31923,官,深浦,フカウラ,西津軽郡深浦町大字深浦字岡町　深浦特別地域気象観測所,40,38.7,139,55.9,66,平11.12.17
青森,31925,雪,酸ケ湯,スカユ,青森市荒川字南荒川山国有林酸ケ湯沢,40,38.9,140,50.9,890,昭54.11.2
青森,31945,雪,鰺ケ沢,アジガサワ,西津軽郡鰺ケ沢町舞戸町字小夜,40,46.6,140,12.3,40,昭58.10.6
青森,31935,雪,碇ケ関,イカリガセキ,平川市碇ヶ関阿原,40,28.9,140,37.2,135,昭54.11.5
青森,31940,雪,脇野沢,ワキノサワ,むつ市脇野沢桂沢,41,8.7,140,49.3,15,昭58.10.7
青森,31950,雪,十和田,トワダ,十和田市相坂字相坂,40,35.7,141,14.8,42,昭58.10.5
青森,31953,官,八戸,ハチノヘ,八戸市湊町字館鼻　八戸特別地域気象観測所,40,31.6,141,31.3,27,平10.3.2
青森,31955,雪,三戸,サンノヘ,三戸郡三戸町川守田字寺ノ沢,40,23,141,15.4,60,昭58.10.5
秋田,32900,雪,能代,ノシロ,能代市緑町,40,11.9,140,1.9,6,昭52.12.1
秋田,32920,雪,阿仁合,アニアイ,北秋田市阿仁水無字畑町東裏,39,59.6,140,24.2,120,昭52.12.1
秋田,32905,雪,鷹巣,タカノス,北秋田市旭町,40,13.6,140,22.3,29,昭52.12.1
